client_name,country,project_target,methodology,currency_code,hourly_rate_local,effective_date
Sanofi,USA,Allergist,Qual,USD,690,2026-05-24
Sanofi,China,Dermatologist,Qual,CNY,1850,2026-05-24
Sanofi,France,Dermatologist,Qual,EUR,200,2026-05-24
Sanofi,Germany,Dermatologist,Qual,EUR,260,2026-05-24
Sanofi,Germany,Dermatologist,Qual,EUR,285,2026-05-24
CSL,France,Patients,Qual,EUR,85,2026-05-24
Sanofi,Italy,Dermatologist,Qual,EUR,290,2026-05-24
CSL,France,Pulmonologists,Qual,EUR,200,2026-05-24
Sanofi,Japan,Dermatologist,Qual,JPY,36500,2026-05-24
Sanofi,Spain,Dermatologist,Qual,EUR,315,2026-05-24
Sanofi,USA,Dermatologist,Qual,USD,887,2026-05-24
Sanofi,France,Gastroenterologist,Qual,EUR,200,2026-05-24
CSL,Germany,Patients,Qual,EUR,60,2026-05-24
Sanofi,Germany,Gastroenterologist,Qual,EUR,285,2026-05-24
CSL,Germany,Pulmonologists,Qual,EUR,190,2026-05-24
Sanofi,Japan,Gastros,Qual,JPY,36500,2026-05-24
CSL,Italy,Patients,Qual,EUR,85,2026-05-24
CSL,Italy,Pulmonologists,Qual,EUR,200,2026-05-24
Sanofi,China,KOLs,Qual,CNY,316,2026-05-24
Sanofi,Germany,KOLs,Qual,EUR,358,2026-05-24
Sanofi,USA,KOLs,Qual,USD,1052,2026-05-24
Sanofi,USA,Nurse,Qual,USD,309,2026-05-24
CSL,Spain,Patients,Qual,EUR,85,2026-05-24
CSL,Spain,Pulmonologists,Qual,EUR,250,2026-05-24
Sanofi,China,Patients,Qual,CNY,29,2026-05-24
CSL,UK,Patients,Qual,GBP,85,2026-05-24
CSL,UK,Pulmonologists,Qual,GBP,310,2026-05-24
Sanofi,France,Patients,Qual,EUR,67.5,2026-05-24
Sanofi,Germany,Patients,Qual,EUR,89.96,2026-05-24
Sanofi,Japan,Patients,Qual,JPY,10774,2026-05-24
Sanofi,USA,Patients,Qual,USD,140,2026-05-24
Sanofi,UAE,PCPs,Qual,AED,379,2026-05-24
Bayer,USA,Nurse - Specialty,Qual,USD,152,2026-05-24
Bayer,USA,PCPs,Qual,USD,277,2026-05-24
Bayer,USA,OBGYN,Qual,USD,361,2026-05-24
Bayer,USA,Patients,Qual,USD,98,2026-05-24
